Step,Value
1,0.04695488512516022
2,0.026480427011847496
3,0.01956605538725853
4,0.015559670515358448
5,0.05041581764817238
6,0.04570159316062927
7,0.04090007394552231
8,0.03924049809575081
9,0.03624211996793747
10,0.03313010558485985
11,0.0312931165099144
12,0.030284002423286438
13,0.02986457385122776
14,0.029329968616366386
15,0.029781829565763474
16,0.029093226417899132
17,0.028191566467285156
18,0.02749665267765522
19,0.029544927179813385
20,0.028648465871810913
21,0.030259763821959496
22,0.030471576377749443
23,0.030661843717098236
24,0.03039565123617649
25,0.03127210959792137
26,0.03096570260822773
27,0.030674302950501442
28,0.031271521002054214
29,0.03046717308461666
30,0.029897838830947876
31,0.029164325445890427
32,0.029652096331119537
33,0.0316215381026268
34,0.03173631429672241
35,0.032056987285614014
36,0.03131730481982231
37,0.03075101226568222
38,0.03020928055047989
39,0.02970987558364868
40,0.029321877285838127
41,0.029127316549420357
42,0.028625937178730965
43,0.028072668239474297
44,0.027608847245573997
45,0.027263768017292023
46,0.026795532554388046
47,0.027367109432816505
48,0.026932014152407646
49,0.026473183184862137
50,0.026004385203123093
51,0.02557290717959404
52,0.025504952296614647
53,0.025265727192163467
54,0.025127120316028595
55,0.024914205074310303
56,0.02452101558446884
57,0.024205641821026802
58,0.02438603714108467
59,0.02428399957716465
60,0.02449912391602993
61,0.024541784077882767
62,0.024185379967093468
63,0.023961463943123817
64,0.02372404746711254
65,0.023646190762519836
66,0.023539282381534576
67,0.023392412811517715
68,0.024213232100009918
69,0.024048231542110443
70,0.02376072108745575
71,0.024741269648075104
72,0.02443183772265911
73,0.024356329813599586
74,0.024686947464942932
75,0.024414321407675743
76,0.024261586368083954
77,0.02405662275850773
78,0.024186996743083
79,0.023937830701470375
80,0.023715797811746597
81,0.02352089062333107
82,0.02345466800034046
83,0.0238870307803154
84,0.023736655712127686
85,0.02350321039557457
86,0.024410326033830643
87,0.02438594028353691
88,0.024434788152575493
89,0.024293147027492523
90,0.024393515661358833
91,0.0242552999407053
92,0.024074863642454147
93,0.02459893375635147
94,0.024480706080794334
95,0.024407166987657547
96,0.024384642019867897
97,0.024252453818917274
98,0.02419671043753624
99,0.02448873780667782
100,0.024318167939782143
101,0.024147991091012955
102,0.023971837013959885
103,0.023794325068593025
104,0.023704705759882927
105,0.023697886615991592
106,0.02358807437121868
107,0.023572735488414764
108,0.02342107705771923
109,0.02370702102780342
110,0.023579126223921776
111,0.023420099169015884
112,0.023388314992189407
