Step,Value
1,0.004783494397997856
2,0.004708087537437677
3,0.06724625080823898
4,0.05314251780509949
5,0.043781500309705734
6,0.038899730890989304
7,0.035948801785707474
8,0.031779732555150986
9,0.03033655509352684
10,0.02811739593744278
11,0.026284273713827133
12,0.025626881048083305
13,0.025544701144099236
14,0.0239450354129076
15,0.02277173288166523
16,0.02167935110628605
17,0.022730030119419098
18,0.02207699418067932
19,0.021579595282673836
20,0.02141294814646244
21,0.020933980122208595
22,0.020880913361907005
23,0.020843271166086197
24,0.020523937419056892
25,0.0200114194303751
26,0.020381931215524673
27,0.01977333426475525
28,0.019221065565943718
29,0.018854381516575813
30,0.019553879275918007
31,0.020213954150676727
32,0.020373985171318054
33,0.02201852947473526
34,0.021497715264558792
35,0.02121095545589924
36,0.020689798519015312
37,0.02037014253437519
38,0.020384689792990685
39,0.020119719207286835
40,0.019641486927866936
41,0.019285675138235092
42,0.018948787823319435
43,0.01868983916938305
44,0.018482565879821777
45,0.019737044349312782
46,0.01939844898879528
47,0.01906612142920494
48,0.018732471391558647
49,0.018420763313770294
50,0.018486734479665756
51,0.018336262553930283
52,0.01820402219891548
53,0.01809708960354328
54,0.01785842329263687
55,0.01772681437432766
56,0.017837952822446823
57,0.01764315739274025
58,0.018180590122938156
59,0.018253879621624947
60,0.01799756847321987
61,0.017802618443965912
62,0.017735078930854797
63,0.01759924180805683
64,0.017538851127028465
65,0.01736750267446041
66,0.018209366127848625
67,0.018042391166090965
68,0.0178577471524477
69,0.017819905653595924
70,0.017610114067792892
71,0.01770038716495037
72,0.01782248541712761
73,0.017611274495720863
74,0.017733467742800713
75,0.017708228901028633
76,0.017685847356915474
77,0.017519745975732803
78,0.017385603860020638
79,0.017340105026960373
80,0.01721280626952648
81,0.01780869998037815
82,0.01770511455833912
83,0.017535673454403877
84,0.017687074840068817
85,0.017577417194843292
86,0.017460312694311142
87,0.017363110557198524
88,0.01731509529054165
89,0.01725909858942032
90,0.01717960275709629
91,0.017368953675031662
92,0.017275799065828323
93,0.017151879146695137
94,0.017019368708133698
95,0.01692739874124527
96,0.017445389181375504
97,0.01769639551639557
98,0.017567357048392296
99,0.017494753003120422
100,0.01734551042318344
101,0.01721624657511711
102,0.01726272702217102
103,0.017117498442530632
104,0.017002416774630547
105,0.016863098368048668
106,0.016740497201681137
107,0.01686813123524189
108,0.016750050708651543
109,0.01663529872894287
110,0.016618166118860245
111,0.0171006191521883
112,0.01701849140226841
113,0.016889046877622604
114,0.016768835484981537
115,0.01713748462498188
116,0.017060494050383568
117,0.01695087179541588
118,0.016925454139709473
119,0.0170107651501894
120,0.017141178250312805
121,0.017243212088942528
122,0.017332445830106735
123,0.017231712117791176
124,0.017520127817988396
125,0.0175476111471653
126,0.01788501814007759
127,0.017796486616134644
128,0.0176879670470953
129,0.017580462619662285
130,0.017582010477781296
131,0.017484011128544807
132,0.01742388866841793
133,0.017388902604579926
134,0.01729629933834076
135,0.017226140946149826
136,0.017149658873677254
137,0.01706063374876976
138,0.017011532559990883
139,0.01759662665426731
140,0.01749201864004135
141,0.017413441091775894
142,0.01731865666806698
143,0.01731278747320175
144,0.017647432163357735
145,0.018151840195059776
146,0.01810983382165432
147,0.018046990036964417
148,0.018044646829366684
149,0.0179587434977293
150,0.01787247695028782
151,0.01778540015220642
152,0.017926352098584175
153,0.017869213595986366
154,0.01804882101714611
155,0.018662437796592712
156,0.018550919368863106
157,0.018574219197034836
158,0.01860727183520794
159,0.018522832542657852
160,0.01842709816992283
161,0.01843845658004284
162,0.01842115819454193
163,0.018343234434723854
164,0.018257884308695793
165,0.018283477053046227
166,0.018229985609650612
167,0.018148763105273247
168,0.01822061464190483
169,0.018221495673060417
170,0.018149949610233307
171,0.018243849277496338
172,0.018178695812821388
173,0.018141094595193863
174,0.018118740990757942
175,0.01804913952946663
176,0.018197957426309586
177,0.0181169044226408
178,0.018112044781446457
179,0.01808609627187252
180,0.018058499321341515
181,0.01797378435730934
182,0.017901215702295303
183,0.017876867204904556
184,0.01783742569386959
185,0.018050046637654305
186,0.018008103594183922
187,0.018066177144646645
188,0.017987705767154694
189,0.017915677279233932
190,0.01788531243801117
191,0.017811257392168045
192,0.017754709348082542
193,0.017799263820052147
194,0.017865991219878197
195,0.017884492874145508
196,0.017815787345170975
197,0.017797034233808517
198,0.017823442816734314
199,0.01785610057413578
200,0.017784109339118004
201,0.01826912723481655
202,0.018225226551294327
203,0.018217919394373894
204,0.018316807225346565
205,0.018368808552622795
206,0.01836397498846054
207,0.018300693482160568
208,0.01830403320491314
209,0.018250174820423126
210,0.01818913035094738
211,0.01812244951725006
212,0.018131325021386147
213,0.01806296408176422
214,0.01806076429784298
215,0.018095970153808594
216,0.018046436831355095
217,0.018006494268774986
218,0.017950689420104027
219,0.01788826286792755
220,0.01879606768488884
221,0.018759166821837425
222,0.018704095855355263
223,0.01864711567759514
224,0.018599282950162888
225,0.01854073815047741
226,0.018476268276572227
227,0.018581943586468697
228,0.018517253920435905
229,0.018631450831890106
230,0.01856149733066559
231,0.018491830676794052
232,0.018456123769283295
233,0.01846303790807724
234,0.018401427194476128
235,0.01840582676231861
236,0.01837999001145363
237,0.01832016184926033
238,0.01833769492805004
239,0.018306786194443703
240,0.018458545207977295
241,0.018427172675728798
242,0.018366042524576187
243,0.01830272376537323
244,0.01842295192182064
245,0.01841146871447563
246,0.018432946875691414
247,0.01844124309718609
248,0.018383488059043884
249,0.018323024734854698
250,0.018403228372335434
251,0.018354250118136406
252,0.0183083675801754
253,0.018331404775381088
254,0.01855168491601944
255,0.018497588112950325
256,0.01896038092672825
257,0.018941354006528854
258,0.01899738982319832
259,0.019008418545126915
260,0.019167069345712662
261,0.019122464582324028
262,0.019138306379318237
263,0.01914592832326889
264,0.01910560578107834
265,0.01905634254217148
266,0.019009221345186234
267,0.0189830232411623
268,0.018922902643680573
269,0.01891123503446579
270,0.018921637907624245
271,0.01897561363875866
272,0.019002161920070648
273,0.018957462161779404
274,0.019113488495349884
275,0.019073309376835823
276,0.01906086504459381
277,0.019055454060435295
278,0.019004058092832565
279,0.019036319106817245
280,0.01899760216474533
281,0.018967926502227783
282,0.01893477886915207
283,0.0188883226364851
284,0.018971635028719902
285,0.01893032155930996
286,0.018890295177698135
287,0.018842805176973343
288,0.01890634186565876
289,0.01886710524559021
290,0.019003786146640778
291,0.0189574733376503
292,0.01893448270857334
293,0.018954265862703323
294,0.018901793286204338
295,0.018849220126867294
296,0.01889294572174549
297,0.018857697024941444
298,0.018850475549697876
